X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.9824843716299,38.9263450432667,44642,Ward 5,"1544 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",1544 Rhode Island Ave NE,Under Construction,DHCD,3,38.92630365,-76.98264332,0,0,3,0,0,,286314,401519.01,139829.1,1544 RHODE ISLAND AVENUE NE,2023/03/13 05:00:26+00
-76.9917005744781,38.8625538380015,44643,Ward 8,"1212 Talbert Street Southeast, Washington, District of Columbia 20020",1212 Talbert St SE,Completed 2015 to Date,DHCD,1,38.86254606,-76.9916983,0,0,1,0,0,,71541,400720.5,132747.66,1212 TALBERT STREET SE,2023/03/13 05:00:26+00
-77.03476882394,38.9346103615729,44644,Ward 1,"1447 Oak Street Northwest, Washington, District of Columbia 20010",Rhode Island Condos,Completed 2015 to Date,DHCD,2,38.9346029,-77.03476653,0,0,2,0,0,,234656,396985.68,140747.05,1447 OAK STREET NW,2023/03/13 05:00:26+00
-76.9804380227471,38.8696967069498,44645,Ward 8,"1704 R Street Southeast, Washington, District of Columbia 20020",1704 R St SE,Completed 2015 to Date,DHCD,1,38.869672,-76.980436,0,0,1,0,0,,57916,401697.8,133540.72,1704 R STREET SE,2023/03/13 05:00:26+00
-76.9750150454822,38.9292674238565,44646,Ward 5,"2027 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",2027 Rhode Island Ave NE,Completed 2015 to Date,DHCD,5,38.9293249,-76.97497111,0,0,0,5,0,,52427,402166.6,140153.66,2027 RHODE ISLAND AVENUE NE,2023/03/13 05:00:26+00
-77.020661316075,38.9152802321362,44647,Ward 6,"618 T Street Northwest, Washington, District of Columbia 20001",The Shaw,Completed 2015 to Date,DHCD,5,38.91527244,-77.02065903,0,0,5,0,0,,238431,398208.34,138600.87,618 T STREET NW,2023/03/13 05:00:26+00
-77.0231888846653,38.9565576832188,44648,Ward 4,"721 Kennedy Street Northwest, Washington, District of Columbia 20011",WSH 7K,Completed 2015 to Date,DHCD,1,38.95655022,-77.02318659,0,0,0,1,0,,250280,397990.3,143183.08,721 KENNEDY STREET NW,2023/03/13 05:00:26+00
-76.9667077172431,38.9333166596565,44649,Ward 5,"2911 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",2911 Rhode Island Ave NE,Pipeline,DHCD,101,38.9333092,-76.96670544,21,68,0,12,0,,43463,402886.75,140603.39,2911 RHODE ISLAND AVENUE NE,2023/03/13 05:00:26+00
-76.9875784259809,38.9247113164434,44650,Ward 5,"2711 13th Street Northeast, Washington, District of Columbia 20017",Rhode Island Ave,Pipeline,DHCD,4,38.92470386,-76.98757614,0,0,4,0,0,,305797,401077.32,139647.67,2711 13TH STREET NE,2023/03/13 05:00:26+00
-77.0324829783133,38.9189954627344,44651,Ward 1,"1400 W Street Northwest, Washington, District of Columbia 20009",1400 W ST NW,Completed 2015 to Date,DHCD,20,38.91898801,-77.03248068,0,0,20,0,0,,242884,397183.25,139013.59,1400 W STREET NW,2023/03/13 05:00:26+00
